doctor_name,admissions,readmissions,avg_length_of_stay
Dr. Rushil Patel,107,5,7.58
Dr. Upma Golla,90,3,8.23
Dr. Jairaj Kothari,89,3,8.1
Dr. Saanvi Kota,88,8,8.66
Dr. Devika Tara,87,8,7.97
Dr. Matthew Aurora,84,2,8.2
Dr. Rushil Sharma,84,7,8.01
Dr. Devika Naidu,84,5,7.6
Dr. Brijesh Soman,84,5,8.56
Dr. Nakul Tata,84,2,7.87
Dr. Zehaan Srivastava,83,5,8.12
Dr. Teerth Oommen,82,4,8.68
Dr. Brijesh Verma,82,1,8.07
Dr. Anita Swamy,80,6,7.5
Dr. Ubika Balay,78,5,8.15
Dr. Radha Nair,77,9,8.39
Dr. Meghana Kibe,77,4,8.06
Dr. Faris Dhingra,76,3,8.07
Dr. Sathvik Solanki,75,8,8.39
Dr. Oliver Majumdar,75,4,9.04
Dr. Chandran Warrior,74,6,7.96
Dr. Amruta Dass,74,4,7.43
Dr. Abhiram Kaul,74,3,9.07
Dr. Hamsini Bhasin,74,3,7.65
Dr. Tejas Chowdhury,73,8,8.6
Dr. Amaira Ramanathan,70,4,7.59
Dr. Zashil Raj,69,2,8.51
Dr. Kamya Chakraborty,65,3,9.88
Dr. Ekani Bahl,59,6,7.51
Dr. Quincy Chaudry,58,3,7.6
