doctor_id,doctor_name,department_id
1,Dr. Anita Swamy,1
2,Dr. Ekani Bahl,2
3,Dr. Chandran Warrior,3
4,Dr. Quincy Chaudry,4
5,Dr. Amruta Dass,5
6,Dr. Abhiram Kaul,1
7,Dr. Matthew Aurora,2
8,Dr. Teerth Oommen,3
9,Dr. Devika Tara,4
10,Dr. Ubika Balay,5
11,Dr. Faris Dhingra,1
12,Dr. Amaira Ramanathan,2
13,Dr. Upma Golla,3
14,Dr. Zashil Raj,4
15,Dr. Jairaj Kothari,5
16,Dr. Saanvi Kota,1
17,Dr. Rushil Sharma,2
18,Dr. Sathvik Solanki,3
19,Dr. Devika Naidu,4
20,Dr. Brijesh Verma,5
21,Dr. Zehaan Srivastava,1
22,Dr. Rushil Patel,2
23,Dr. Tejas Chowdhury,3
24,Dr. Radha Nair,4
25,Dr. Oliver Majumdar,5
26,Dr. Meghana Kibe,1
27,Dr. Brijesh Soman,2
28,Dr. Kamya Chakraborty,3
29,Dr. Nakul Tata,4
30,Dr. Hamsini Bhasin,5
